doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
luatvietnam-scholarship-levels,data\hoc-bong\luatvietnam-scholarship-levels.md,Mức học bổng của học sinh sinh viên mới nhất,https://luatvietnam.vn/tin-phap-luat/hoc-bong-sinh-vien-hoc-sinh-230-28958-article.html,2026-09-19,not-stated,third-party-news-check-permission
rmit-vn-scholarship-overview,data\hoc-bong\rmit-vn-scholarship-overview.md,Tổng quan học bổng (RMIT Việt Nam),https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong,2026-09-19,not-stated,public-source
rmit-vn-scholarship-results-2024,data\hoc-bong\rmit-vn-scholarship-results-2024.md,RMIT Việt Nam tôn vinh tác động qua chương trình học bổng 2024,https://www.rmit.edu.vn/vi/tin-tuc/tat-ca-tin-tuc/2024/oct/rmit-viet-nam-ton-vinh-tac-dong-ma-truong-kien-tao-qua-chuong-trinh-hoc-bong,2026-09-19,2024-10,public-source
rmit-vn-undergrad-scholarships-2026,data\hoc-bong\rmit-vn-undergrad-scholarships-2026.md,Học bổng đại học cho sinh viên tương lai 2026 (RMIT Việt Nam),https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong/hoc-bong-dai-hoc-cho-sinh-vien-tuong-lai,2026-09-19,2026,public-source
tuoitre-early-admission-scholarship-2025,data\hoc-bong\tuoitre-early-admission-scholarship-2025.md,3 trường đại học bắt đầu nhận hồ sơ xét tuyển học bổng năm 2025,https://tuoitre.vn/3-truong-dai-hoc-bat-dau-nhan-ho-so-xet-tuyen-nam-2025-20250116100857543.htm,2026-09-19,2025-01-16,third-party-news-check-permission
udn-nang-buoc-scholarship-2025,data\hoc-bong\udn-nang-buoc-scholarship-2025.md,Đại học Đà Nẵng vinh danh thủ khoa và trao học bổng Nâng bước sinh viên 2025,https://daibieunhandan.vn/dai-hoc-da-nang-vinh-danh-thu-khoa-va-trao-hoc-bong-nang-buoc-sinh-vien-nam-2025-10393397.html,2026-09-19,2025,third-party-news-check-permission
ueh-exchange-scholarships-2026-2027,data\hoc-bong\ueh-exchange-scholarships-2026-2027.md,UEH mở rộng học bổng trao đổi quốc tế giai đoạn 2026-2027,https://tuoitre.vn/dai-hoc-kinh-te-tphcm-mo-rong-hoc-bong-tang-co-hoi-xuat-ngoai-cho-sinh-vien-20260320191254681.htm,2026-09-19,2026-03-20,third-party-news-check-permission
